random_id,participant_id,n
p3duj2aujg2,manatee,450
p3zegmnxubt,camel,450
p48hzab1ry2,panda,450
p5lyc28scvl,moose,450
p6labg5etft,flamingo,450
p86x33mjzdl,gazelle,450
p920knkg1w3,trex,450
parq0lw64nk,lion,450
pcfdh9f6su2,p73,450
pe7o54mbpf0,hedgehog,450
pg0hzpvg3xz,seal,450
phy4ybvdja7,turtle,450
pjw2f4uz82k,falcon,450
pllo1t2f1nf,jaguar,450
pmkev4nz5vv,tardigrade666,450
po16pvz0ydw,leopard,450
ppj3b623m4f,eagle,450
prsues5texd,cheetah,450
puwua1qwtby,kangaroo,450
