"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","null","image-keyboard-response","37","2.0.0","96430","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ehorn1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","38","2.0.0","96933","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","98936","p6labg5etft","flamingo","null","stimuli\STATE\USED\Saccordionsmall2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","40","2.0.0","99438","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","101441","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sbooks2.JPG","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","42","2.0.0","101944","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","693","image-keyboard-response","43","2.0.0","103947","p6labg5etft","flamingo"," ","stimuli\EXEMPLAR\USED\Eplate2.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","44","2.0.0","104451","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","106454","p6labg5etft","flamingo","null","stimuli\STATE\USED\Shairbrush2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","46","2.0.0","106957","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","47","2.0.0","108960","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Eicecream2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","48","2.0.0","109463","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","49","2.0.0","111467","p6labg5etft","flamingo","null","stimuli\STATE\USED\Sseatbelt2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","50","2.0.0","111970","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","51","2.0.0","113972","p6labg5etft","flamingo","null","stimuli\STATE\USED\Spestle1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","52","2.0.0","114475","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","53","2.0.0","116477","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ehotairballoon2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","54","2.0.0","116980","p6labg5etft","flamingo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","55","2.0.0","118983","p6labg5etft","flamingo","null","stimuli\EXEMPLAR\USED\Ewheelchair1.jpg","","","","","Memory","false","null","","","",""
