"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","1251","html-button-response","411","2.0.0","596696","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sdonut1.jpg"",""stimuli\\STATE\\USED\\Sdonut2.jpg""]","stimuli\STATE\USED\Sdonut2.jpg","stimuli\STATE\USED\Sdonut2.jpg",""
"","4313","image-slider-response","412","2.0.0","601012","phy4ybvdja7","turtle","5","stimuli\STATE\USED\Sdonut2.jpg","","","","","","","","","","","3"
"","1363","html-button-response","413","2.0.0","602378","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","false","[""stimuli\\EXEMPLAR\\USED\\Ebicycle1.jpg"",""stimuli\\EXEMPLAR\\USED\\Ebicycle2.jpg""]","stimuli\EXEMPLAR\USED\Ebicycle1.jpg","stimuli\EXEMPLAR\USED\Ebicycle2.jpg",""
"","1403","image-slider-response","414","2.0.0","603784","phy4ybvdja7","turtle","2","stimuli\EXEMPLAR\USED\Ebicycle2.jpg","","","","","","","","","","","3"
"","1203","html-button-response","415","2.0.0","604990","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","false","[""stimuli\\STATE\\USED\\Srhino2.jpg"",""stimuli\\STATE\\USED\\Srhino1.jpg""]","stimuli\STATE\USED\Srhino1.jpg","stimuli\STATE\USED\Srhino2.jpg",""
"","1998","image-slider-response","416","2.0.0","606991","phy4ybvdja7","turtle","2","stimuli\STATE\USED\Srhino2.jpg","","","","","","","","","","","3"
"","2433","html-button-response","417","2.0.0","609425","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sbelt2.jpg"",""stimuli\\STATE\\USED\\Sbelt1.jpg""]","stimuli\STATE\USED\Sbelt1.jpg","stimuli\STATE\USED\Sbelt1.jpg",""
"","1975","image-slider-response","418","2.0.0","611403","phy4ybvdja7","turtle","2","stimuli\STATE\USED\Sbelt1.jpg","","","","","","","","","","","3"
"","1653","html-button-response","419","2.0.0","613058","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Echeeses1.jpg"",""stimuli\\EXEMPLAR\\USED\\Echeeses2.jpg""]","stimuli\EXEMPLAR\USED\Echeeses2.jpg","stimuli\EXEMPLAR\USED\Echeeses2.jpg",""
"","1717","image-slider-response","420","2.0.0","614778","phy4ybvdja7","turtle","5","stimuli\EXEMPLAR\USED\Echeeses2.jpg","","","","","","","","","","","3"
"","1163","html-button-response","421","2.0.0","615944","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Echocolatebar1.jpg"",""stimuli\\EXEMPLAR\\USED\\Echocolatebar2.jpg""]","stimuli\EXEMPLAR\USED\Echocolatebar1.jpg","stimuli\EXEMPLAR\USED\Echocolatebar1.jpg",""
"","1950","image-slider-response","422","2.0.0","617896","phy4ybvdja7","turtle","5","stimuli\EXEMPLAR\USED\Echocolatebar1.jpg","","","","","","","","","","","3"
"","1605","html-button-response","423","2.0.0","619504","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Ehelmet2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ehelmet1.jpg""]","stimuli\EXEMPLAR\USED\Ehelmet1.jpg","stimuli\EXEMPLAR\USED\Ehelmet1.jpg",""
"","2167","image-slider-response","424","2.0.0","621674","phy4ybvdja7","turtle","2","stimuli\EXEMPLAR\USED\Ehelmet1.jpg","","","","","","","","","","","3"
"","1662","html-button-response","425","2.0.0","623337","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Smedicaltape1.jpg"",""stimuli\\STATE\\USED\\Smedicaltape2.jpg""]","stimuli\STATE\USED\Smedicaltape2.jpg","stimuli\STATE\USED\Smedicaltape2.jpg",""
"","1781","image-slider-response","426","2.0.0","625121","phy4ybvdja7","turtle","5","stimuli\STATE\USED\Smedicaltape2.jpg","","","","","","","","","","","3"
"","1027","html-button-response","427","2.0.0","626150","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Estarfish1.jpg"",""stimuli\\EXEMPLAR\\USED\\Estarfish2.jpg""]","stimuli\EXEMPLAR\USED\Estarfish1.jpg","stimuli\EXEMPLAR\USED\Estarfish1.jpg",""
"","2254","image-slider-response","428","2.0.0","628407","phy4ybvdja7","turtle","5","stimuli\EXEMPLAR\USED\Estarfish1.jpg","","","","","","","","","","","3"
"","1012","html-button-response","429","2.0.0","629421","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Speppers1.jpg"",""stimuli\\STATE\\USED\\Speppers2.jpg""]","stimuli\STATE\USED\Speppers2.jpg","stimuli\STATE\USED\Speppers2.jpg",""
"","1862","image-slider-response","430","2.0.0","631286","phy4ybvdja7","turtle","4","stimuli\STATE\USED\Speppers2.jpg","","","","","","","","","","","3"
"","929","html-button-response","431","2.0.0","632217","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Esunglasses2.jpg"",""stimuli\\EXEMPLAR\\USED\\Esunglasses1.jpg""]","stimuli\EXEMPLAR\USED\Esunglasses2.jpg","stimuli\EXEMPLAR\USED\Esunglasses2.jpg",""
"","2095","image-slider-response","432","2.0.0","634315","phy4ybvdja7","turtle","5","stimuli\EXEMPLAR\USED\Esunglasses2.jpg","","","","","","","","","","","3"
"","1284","html-button-response","433","2.0.0","635601","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sseats1.jpg"",""stimuli\\STATE\\USED\\Sseats2.jpg""]","stimuli\STATE\USED\Sseats2.jpg","stimuli\STATE\USED\Sseats2.jpg",""
"","1966","image-slider-response","434","2.0.0","637570","phy4ybvdja7","turtle","1","stimuli\STATE\USED\Sseats2.jpg","","","","","","","","","","","3"
"","1267","html-button-response","435","2.0.0","638840","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","false","[""stimuli\\STATE\\USED\\Spotpan1.JPG"",""stimuli\\STATE\\USED\\Spotpan2.JPG""]","stimuli\STATE\USED\Spotpan1.JPG","stimuli\STATE\USED\Spotpan2.JPG",""
"","1523","image-slider-response","436","2.0.0","640365","phy4ybvdja7","turtle","1","stimuli\STATE\USED\Spotpan2.JPG","","","","","","","","","","","3"
"","1317","html-button-response","437","2.0.0","641684","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sclipboard2.jpg"",""stimuli\\STATE\\USED\\Sclipboard1.jpg""]","stimuli\STATE\USED\Sclipboard2.jpg","stimuli\STATE\USED\Sclipboard2.jpg",""
"","1974","image-slider-response","438","2.0.0","643661","phy4ybvdja7","turtle","2","stimuli\STATE\USED\Sclipboard2.jpg","","","","","","","","","","","3"
"","1421","html-button-response","439","2.0.0","645084","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sdishes1.JPG"",""stimuli\\STATE\\USED\\Sdishes2.JPG""]","stimuli\STATE\USED\Sdishes2.JPG","stimuli\STATE\USED\Sdishes2.JPG",""
"","1475","image-slider-response","440","2.0.0","646562","phy4ybvdja7","turtle","2","stimuli\STATE\USED\Sdishes2.JPG","","","","","","","","","","","3"
"","1613","html-button-response","441","2.0.0","648177","phy4ybvdja7","turtle","1","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\STATE\\USED\\Sboxwhite1.jpg"",""stimuli\\STATE\\USED\\Sboxwhite2.jpg""]","stimuli\STATE\USED\Sboxwhite2.jpg","stimuli\STATE\USED\Sboxwhite2.jpg",""
"","1484","image-slider-response","442","2.0.0","649665","phy4ybvdja7","turtle","4","stimuli\STATE\USED\Sboxwhite2.jpg","","","","","","","","","","","3"
"","1099","html-button-response","443","2.0.0","650766","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Emoney2.jpg"",""stimuli\\EXEMPLAR\\USED\\Emoney1.jpg""]","stimuli\EXEMPLAR\USED\Emoney2.jpg","stimuli\EXEMPLAR\USED\Emoney2.jpg",""
"","2207","image-slider-response","444","2.0.0","652976","phy4ybvdja7","turtle","5","stimuli\EXEMPLAR\USED\Emoney2.jpg","","","","","","","","","","","3"
"","1139","html-button-response","445","2.0.0","654117","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Ekayak2.jpg"",""stimuli\\EXEMPLAR\\USED\\Ekayak1.jpg""]","stimuli\EXEMPLAR\USED\Ekayak2.jpg","stimuli\EXEMPLAR\USED\Ekayak2.jpg",""
"","3436","image-slider-response","446","2.0.0","657556","phy4ybvdja7","turtle","2","stimuli\EXEMPLAR\USED\Ekayak2.jpg","","","","","","","","","","","3"
"","1002","html-button-response","447","2.0.0","658560","phy4ybvdja7","turtle","0","Which of these items did you see before?","","","","","Test","","true","[""stimuli\\EXEMPLAR\\USED\\Esuitcase1.jpg"",""stimuli\\EXEMPLAR\\USED\\Esuitcase2.jpg""]","stimuli\EXEMPLAR\USED\Esuitcase1.jpg","stimuli\EXEMPLAR\USED\Esuitcase1.jpg",""
"","2240","image-slider-response","448","2.0.0","660804","phy4ybvdja7","turtle","1","stimuli\EXEMPLAR\USED\Esuitcase1.jpg","","","","","","","","","","","3"
"","39171","survey-text","449","2.0.0","699985","phy4ybvdja7","turtle","{""experiment_purpose"":""testing our short term memory"",""Q1"":""color, orientation, things that were significant in my life i remembered"",""technical_issues"":""no""}","","","","","","","","","","","",""
