"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","null","image-keyboard-response","124","2.0.0","180460","puwua1qwtby","kangaroo","null","stimuli\STATE\USED\Spumpkinpie1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","125","2.0.0","180962","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","126","2.0.0","182971","puwua1qwtby","kangaroo","null","stimuli\STATE\USED\Siron1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","127","2.0.0","183473","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","128","2.0.0","185476","puwua1qwtby","kangaroo","null","stimuli\STATE\USED\Spolarbear1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","129","2.0.0","185979","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","130","2.0.0","187982","puwua1qwtby","kangaroo","null","stimuli\EXEMPLAR\USED\Eturtle1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","131","2.0.0","188484","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","132","2.0.0","190487","puwua1qwtby","kangaroo","null","stimuli\EXEMPLAR\USED\Epotatochips1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","133","2.0.0","190990","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","1096","image-keyboard-response","134","2.0.0","192994","puwua1qwtby","kangaroo"," ","stimuli\STATE\USED\Siron1.jpg","","","","","Memory","true","true","","","",""
"","null","html-keyboard-response","135","2.0.0","193496","puwua1qwtby","kangaroo","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
