"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","null","html-keyboard-response","36","2.0.0","88451","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","37","2.0.0","90454","pcfdh9f6su2","p73","null","stimuli\STATE\USED\Sapplesgreenbasket1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","38","2.0.0","90957","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","39","2.0.0","92961","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Etoyhand1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","40","2.0.0","93463","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","41","2.0.0","95467","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Ehelmet2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","42","2.0.0","95970","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","43","2.0.0","97973","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Etoykeys2.JPG","","","","","Memory","true","null","","","",""
"","null","html-keyboard-response","44","2.0.0","98477","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","45","2.0.0","100480","pcfdh9f6su2","p73","null","stimuli\EXEMPLAR\USED\Egame2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","46","2.0.0","100982","pcfdh9f6su2","p73","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
