"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","repeated","correct","choice_images","correct_image","choice","slider_start"
"","null","html-keyboard-response","232","2.0.0","331327","p920knkg1w3","trex","null","<div style=""font-size:60px; color: green;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","233","2.0.0","333329","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Ewineglass2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","234","2.0.0","333832","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","235","2.0.0","335836","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Eholepunch1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","236","2.0.0","336338","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","237","2.0.0","338342","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Ebinoculars2.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","238","2.0.0","338844","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","239","2.0.0","340847","p920knkg1w3","trex","null","stimuli\STATE\USED\Slockbox1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","240","2.0.0","341349","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","241","2.0.0","343352","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Ebunny1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","242","2.0.0","343854","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","243","2.0.0","345858","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Edispenser1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","244","2.0.0","346359","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","245","2.0.0","348362","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Ebonzai1.jpg","","","","","Memory","false","null","","","",""
"","null","html-keyboard-response","246","2.0.0","348865","p920knkg1w3","trex","null","<div style=""font-size:60px; color: black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","247","2.0.0","350868","p920knkg1w3","trex","null","stimuli\EXEMPLAR\USED\Egame1.jpg","","","","","Memory","false","null","","","",""
